Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,User_Count
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,4.19,80.0,7.2,564.0
Street Fighter IV,PS3,2009.0,Fighting,Capcom,4.16,94.0,7.3,330.0
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,4.14,95.0,7.7,65.0
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.12,96.0,9.1,3161.0
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,4.09,91.0,7.9,785.0
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,4.08,88.0,8.4,809.0
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,4.07,93.0,8.9,709.0
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,4.05,84.0,8.1,769.0
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,4.05,90.0,8.3,381.0
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,4.05,56.0,6.0,44.0
Watch Dogs,PS4,2014.0,Action,Ubisoft,4.05,80.0,6.3,2996.0
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,4.05,85.0,8.5,117.0
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,4.04,85.0,7.7,1653.0
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,3.97,89.0,8.6,681.0
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,3.97,92.0,9.2,10179.0
Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,3.96,70.0,4.9,2050.0
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.95,87.0,7.6,2679.0
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,3.95,93.0,8.0,1958.0
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,3.94,90.0,8.0,910.0
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,3.94,84.0,8.8,72.0
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,3.9,81.0,8.7,39.0
Tony Hawk's Underground,PS2,2003.0,Sports,Activision,3.9,90.0,8.7,121.0
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,3.89,86.0,8.7,348.0
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,3.88,94.0,8.1,9073.0
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,3.88,87.0,6.7,364.0
Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,3.87,88.0,8.6,229.0
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,3.87,84.0,7.4,220.0
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,3.85,91.0,9.1,38.0
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,3.84,76.0,7.9,104.0
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,3.83,78.0,3.7,1564.0
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,3.83,59.0,4.0,4.0
Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,3.8,80.0,7.0,2219.0
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,3.79,68.0,6.9,39.0
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,3.76,77.0,7.5,66.0
The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,3.76,79.0,8.0,29.0
Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts,3.73,64.0,7.5,41.0
Super Paper Mario,Wii,2007.0,Platform,Nintendo,3.71,85.0,7.9,417.0
Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,3.71,91.0,8.8,207.0
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,3.71,88.0,8.1,840.0
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,3.7,81.0,7.6,56.0
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,3.67,94.0,8.5,128.0
MySims,DS,2007.0,Simulation,Electronic Arts,3.66,67.0,7.3,13.0
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,3.65,74.0,8.4,31.0
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,82.0,7.9,82.0
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,3.64,90.0,8.7,312.0
Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,3.63,82.0,7.9,38.0
Resident Evil 4,PS2,2005.0,Action,Capcom,3.62,96.0,8.9,1013.0
Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,3.62,86.0,7.6,71.0
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,3.62,91.0,7.6,203.0
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,3.61,82.0,8.7,142.0
The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,3.61,64.0,7.7,32.0
Luigi's Mansion,GC,2001.0,Action,Nintendo,3.6,78.0,8.5,161.0
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,3.59,85.0,6.9,1580.0
Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,3.59,84.0,9.0,268.0
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,3.58,70.0,8.0,9.0
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,3.54,78.0,7.8,112.0
The Getaway,PS2,2002.0,Action,Sony Computer Entertainment,3.54,72.0,6.8,88.0
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,3.53,72.0,7.9,48.0
FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,3.52,88.0,7.5,155.0
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,3.51,89.0,7.9,1309.0
Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,3.5,72.0,4.1,1005.0
Resident Evil 5,X360,2009.0,Action,Capcom,3.5,83.0,7.5,523.0
Assassin's Creed: Brotherhood,X360,2010.0,Action,Ubisoft,3.49,89.0,8.3,693.0
Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,3.49,80.0,5.8,579.0
Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,3.48,92.0,8.7,1080.0
Battlefield 4,X360,2013.0,Shooter,Electronic Arts,3.48,79.0,5.6,542.0
Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,3.47,88.0,8.6,869.0
Guitar Hero: On Tour,DS,2008.0,Misc,Activision,3.46,71.0,8.8,29.0
Clubhouse Games,DS,2006.0,Misc,Nintendo,3.45,83.0,8.4,28.0
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,3.44,84.0,8.2,715.0
Tekken 4,PS2,2002.0,Fighting,Namco Bandai Games,3.44,79.0,8.3,126.0
Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,3.42,70.0,8.0,67.0
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,3.41,93.0,8.2,3943.0
Spider-Man 2,PS2,2004.0,Action,Activision,3.41,80.0,8.9,106.0
FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,3.4,88.0,6.7,35.0
LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,3.39,91.0,8.4,657.0
Crash Bash,PS,2000.0,Misc,Sony Computer Entertainment,3.39,68.0,8.2,99.0
Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,3.39,76.0,6.8,1319.0
LEGO Batman: The Videogame,X360,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,76.0,7.9,75.0
Destiny,XOne,2014.0,Shooter,Activision,3.37,75.0,5.5,1735.0
Far Cry 3,PS3,2012.0,Shooter,Ubisoft,3.35,90.0,8.5,1041.0
James Bond 007: Nightfire,PS2,2002.0,Shooter,Electronic Arts,3.33,77.0,8.5,66.0
Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,LucasArts,3.32,60.0,7.2,82.0
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,3.31,87.0,7.8,228.0
Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,3.31,80.0,8.5,86.0
Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,3.3,86.0,7.9,701.0
The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,3.28,85.0,8.7,105.0
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,3.28,82.0,7.5,563.0
